id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
V6ToEastH6.0,0.0,468_0,5.1,0.0,0.0,120.0,522_1,56.88,13.03,120.0,1507.13,0.0,0,0.0,12.24,0,tripinfo_V6ToEastH6.0 emissions_V6ToEastH6.0,gasoline_euro4,1.01,3516.181203,349805.022574,23.376105,5.023412,132.493456,111571.97169,0.0
V6ToEastH6.1,12.0,468_0,4.6,0.0,0.0,133.0,522_1,56.88,14.24,121.0,1507.63,0.0,0,0.0,16.24,0,tripinfo_V6ToEastH6.1 emissions_V6ToEastH6.1,electric,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.2,24.0,468_0,4.6,0.0,0.0,144.0,522_1,56.88,13.73,120.0,1507.63,0.0,0,0.0,13.45,0,tripinfo_V6ToEastH6.2 emissions_V6ToEastH6.2,electric,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.3,36.0,468_0,4.6,0.0,0.0,166.0,522_1,56.88,11.86,130.0,1507.63,0.0,0,0.0,12.51,0,tripinfo_V6ToEastH6.3 emissions_V6ToEastH6.3,electric,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.4,48.0,468_0,5.1,0.0,0.0,168.0,522_1,56.88,15.05,120.0,1507.13,1.0,1,0.0,25.54,0,tripinfo_V6ToEastH6.4 emissions_V6ToEastH6.4,gasoline_euro4,1.16,5375.076967,413424.640538,33.626106,7.084538,164.442254,131863.203028,0.0
V6ToEastH6.6,72.0,468_0,4.6,0.0,0.0,182.0,522_1,56.88,14.72,110.0,1507.63,0.0,0,0.0,13.53,0,tripinfo_V6ToEastH6.6 emissions_V6ToEastH6.6,electric,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.5,60.0,468_0,5.1,0.0,0.0,204.0,522_0,56.88,10.63,144.0,1507.13,0.0,0,0.0,12.1,0,tripinfo_V6ToEastH6.5 emissions_V6ToEastH6.5,gasoline_euro4,0.83,4244.249843,342119.973218,27.131304,4.744436,130.951234,109121.432052,0.0
V6ToEastH6.7,84.0,468_0,5.1,0.0,0.0,204.0,522_1,56.88,12.71,120.0,1507.13,0.0,0,0.0,11.73,0,tripinfo_V6ToEastH6.7 emissions_V6ToEastH6.7,gasoline_euro4,1.01,3889.73645,358804.363083,25.448107,5.553782,139.11998,114442.05336,0.0
V6ToEastH6.8,96.0,468_0,4.6,0.0,0.0,206.0,522_1,56.88,15.57,110.0,1507.63,0.0,0,0.0,17.25,0,tripinfo_V6ToEastH6.8 emissions_V6ToEastH6.8,electric,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.9,108.0,468_0,5.1,0.0,0.0,236.0,522_1,56.88,13.13,128.0,1507.13,0.0,0,0.0,14.14,0,tripinfo_V6ToEastH6.9 emissions_V6ToEastH6.9,gasoline_euro4,0.96,4009.455577,359255.879603,26.044579,5.281342,137.864216,114586.465387,0.0
V6ToEastH6.10,120.0,468_0,4.6,0.0,0.0,238.0,522_1,56.88,14.33,118.0,1507.63,0.0,0,0.0,17.4,0,tripinfo_V6ToEastH6.10 emissions_V6ToEastH6.10,electric,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.12,144.0,468_0,4.6,0.0,0.0,265.0,522_1,56.88,13.07,121.0,1507.63,0.0,0,0.0,12.38,0,tripinfo_V6ToEastH6.12 emissions_V6ToEastH6.12,electric,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.11,132.0,468_0,5.1,0.0,0.0,271.0,522_0,56.88,11.37,139.0,1507.13,0.0,0,0.0,12.04,0,tripinfo_V6ToEastH6.11 emissions_V6ToEastH6.11,gasoline_euro4,0.85,4160.824372,351032.588496,26.868653,4.95977,134.507226,111963.97162,0.0
V6ToEastH6.13,156.0,468_0,5.1,0.0,0.0,277.0,522_1,56.88,14.04,121.0,1507.13,0.0,0,0.0,14.33,0,tripinfo_V6ToEastH6.13 emissions_V6ToEastH6.13,gasoline_euro4,1.02,3960.339708,366614.466123,25.744892,5.516395,140.824748,116933.275959,0.0
SouthEvansGateToSilbury.0,0.0,526_0,4.6,0.0,0.0,287.0,215_0,19.43,12.79,287.0,2705.68,45.0,2,0.0,74.04,0,tripinfo_SouthEvansGateToSilbury.0 emissions_SouthEvansGateToSilbury.0,electric,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.14,168.0,468_0,5.1,0.0,0.0,297.0,522_1,56.88,12.87,129.0,1507.13,1.0,1,0.0,18.27,0,tripinfo_V6ToEastH6.14 emissions_V6ToEastH6.14,gasoline_euro4,0.99,4406.105583,363758.596894,27.962197,5.590648,141.12645,116022.553793,0.0
WestH6ToSaxonSt.1,12.0,524_0,4.6,0.0,0.0,312.0,771_1,56.88,11.86,300.0,2570.37,55.0,2,0.0,88.26,0,tripinfo_WestH6ToSaxonSt.1 emissions_WestH6ToSaxonSt.1,electric,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.15,180.0,468_0,5.1,0.0,0.0,312.0,522_1,56.88,11.65,132.0,1507.13,0.0,0,0.0,12.73,0,tripinfo_V6ToEastH6.15 emissions_V6ToEastH6.15,gasoline_euro4,0.91,4147.503794,359599.316545,27.010937,5.38717,139.395318,114695.97111,0.0
V6ToEastH6.16,192.0,468_0,5.1,0.0,0.0,317.0,522_1,56.88,12.67,125.0,1507.13,0.0,0,0.0,12.88,0,tripinfo_V6ToEastH6.16 emissions_V6ToEastH6.16,gasoline_euro4,0.97,4051.987869,365858.580427,26.566874,5.556295,141.709919,116692.204601,0.0
WestA509ToAvebury.0,0.0,773_0,4.6,0.0,0.0,321.0,213_0,19.13,13.86,321.0,2318.69,126.0,5,0.0,164.76,0,tripinfo_WestA509ToAvebury.0 emissions_WestA509ToAvebury.0,electric,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToAvebury.1,18.0,773_0,4.6,0.0,0.0,322.0,213_0,19.13,14.19,304.0,2323.83,102.0,4,0.0,149.15,0,tripinfo_WestA509ToAvebury.1 emissions_WestA509ToAvebury.1,electric,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestH6ToSaxonSt.0,0.0,524_0,4.6,0.0,0.0,323.0,771_1,56.88,10.71,323.0,2570.34,58.0,3,0.0,96.72,0,tripinfo_WestH6ToSaxonSt.0 emissions_WestH6ToSaxonSt.0,electric,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestH6ToSaxonSt.2,24.0,524_0,4.6,0.0,0.0,325.0,771_1,56.88,14.13,301.0,2570.36,55.0,4,0.0,120.73,0,tripinfo_WestH6ToSaxonSt.2 emissions_WestH6ToSaxonSt.2,electric,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
